German,Romanian
Ich,eu
ist,este
ich,eu
nicht,nu
Sie,Ea
du,tu
das,cel
die,cel
es,aceasta
und,și
der,cel
zu,la
sie,ea
Das,The
ein,A
in,în
wir,noi
Du,Tu
mir,pe mine
mit,cu
Was,Ce
den,cel
mich,pe mine
was,Ce
auf,pe
dass,acea
er,el
eine,unu
Es,Aceasta
hat,are
Wir,Noi
Und,Și
so,asa de
sind,sunt
von,din
dich,tu
war,a fost
haben,avea
für,pentru
Ja,da
hier,Aici
an,la
habe,avea
Er,El
bin,a.m
wie,Cum
noch,încă
dir,tu
uns,S.U.A
sich,în sine
Die,The
nur,numai
einen,A
Nein,Nu
dem,dem
ihn,-l
auch,de asemenea
hast,avea
sein,fi
ihr,a ei
da,Acolo
aus,din
kann,poate sa
aber,dar
Aber,Dar
schon,deja
wenn,dacă
wird,devine
um,în jurul
Wie,Cum
als,la fel de
bist,sunt
im,în
mal,doar
doch,dar
gut,bun
meine,A mea
jetzt,acum
weiß,alb
Wenn,Dacă
werden,deveni
Der,The
nach,după
ja,da
Oh,Oh
oder,sau
dann,apoi
will,vrei
mein,Ale mele
mehr,Mai mult
keine,Nu
etwas,ceva
alles,Tot
muss,trebuie sa
immer,mereu
nichts,nimic
man,om
wieder,din nou
bei,la
hab,avea
machen,face
vor,inainte de
Mann,Om
ihm,-l
einem,unu
tun,do
zum,pentru
können,poate sa
sagen,Spune
werde,deveni
denn,deoarece
Ist,Este
Ein,A
Warum,De ce
einer,unu
gehen,merge
sehen,vedea
sehr,foarte
geht,merge
alle,toate
über,de mai sus
müssen,trebuie sa
diese,acest
einfach,pur şi simplu
euch,tu
des,de
nie,nu
Also,Asa de
Wo,Unde
los,Haide
Zeit,Timp
Ihnen,Lor
gibt,dă
wirklich,într-adevăr
Hey,Hei
Danke,Mulțumiri
deine,ta
würde,ar
soll,ar trebui să
Da,Acolo
hatte,a avut
Hier,Aici
wissen,cunoştinţe
bitte,Vă rog
viel,mult
Dann,Apoi
So,Asa de
gesagt,a spus
Ihr,A ei
am,la
kein,Nu
Komm,Vino
Wer,OMS
zurück,înapoi
wurde,a devenit
In,În
wollte,dorit
Frau,Femeie
Leben,Viaţă
wäre,au fost
wo,Unde
damit,Cu acesta
Nicht,Nu
Gott,Dumnezeu
Leute,oameni
kannst,poate sa
heute,astăzi
meinen,Rău
dieser,acest
dein,ta
kommt,vine
kommen,vino
willst,vrei
Na,N / A
wollen,vrei
sicher,sigur
ganz,destul de
Jetzt,Acum
Mein,Ale mele
Mr,Domnul
also,asa de
zur,la
Hast,Avea
Gut,Bun
hätte,ar fi avut
weil,deoarece
tut,face
Hallo,Buna ziua
Okay,Bine
macht,ar putea
waren,au fost
bis,pana cand
Vielleicht,Poate
könnte,ar putea
Eine,unu
Bitte,Vă rog
weg,departe
seine,a lui
lassen,lăsa
Vater,Tată
gesehen,văzut
Nun,Bine
gerade,Drept
Alles,Tot
glaube,crede
Tag,Zi
ab,departe
Geld,Bani
gemacht,făcut
nein,Nu
Sir,domnule
sollte,ar trebui să
sagte,a spus
keinen,nici unul
durch,prin
zwei,Două
diesen,Aceasta
passiert,s-a întâmplat
wohl,probabil
vielleicht,poate
ihre,a ei
Mutter,Mamă
reden,vorbi
anderen,alții
dachte,gând
daß,acea
möchte,vrei
wirst,voi
gehört,auzit
weißt,stiu
Keine,Nu
raus,afară
Meine,A mea
paar,cuplu
besser,mai bine
ob,dacă
her,Aici
musst,trebuie sa
Ordnung,Ordin
meiner,A mea
klar,clar
ihnen,lor
Los,Haide
diesem,Aceasta
meinem,Ale mele
lange,lung
Lass,Lăsa
dieses,acest
helfen,Ajutor
unsere,al nostru
Weg,Departe
selbst,se
Nur,Numai
finden,găsi
Mal,Doar
jemand,cineva
denke,gândi
Ach,Oh
Nacht,Noapte
genau,Exact
gar,chiar
sagt,spune
Welt,Lume
Auf,Pe
Mädchen,Fată
ins,în
hin,Acolo
vom,de la
schön,Grozav
warum,De ce
weiter,mai departe
Leid,Întristare
gleich,chiar
wer,OMS
Man,Om
ohne,fără
Menschen,oameni
deinen,a ta
leid,întristare
Wieso,Cum se face
dort,Acolo
Als,La fel de
Hause,Acasă
sollten,ar trebui să
davon,de care
zusammen,împreună
geben,da
Ok,Bine
Hör,Asculta
machst,do
Freund,Prietene
richtig,corect
Angst,Frică
Bist,Sunt
Tut,Face
Mit,Cu
viele,mulți
sieht,vede
Haus,Casa
tot,mort
sollen,ar trebui să
ganze,întreg
andere,alte
getan,făcut
okay,Bine
rein,pur
Diese,Acest
Moment,moment
bleiben,rămâne
brauchen,nevoie
Weil,Deoarece
Kinder,Copii
unter,sub
Arbeit,Muncă
Für,Pentru
Problem,problemă
dafür,pentru asta
Herr,Domnule
Haben,Avea
wegen,din cauza
geht's,e în regulă
liebe,dragoste
genug,suficient
dabei,inclus
bringen,aduce
Ihre,A ei
ne,Nu
gegen,împotriva
Weißt,Ştii
Sag,Spune
schnell,rapid
nun,asa de
eines,unu
brauche,nevoie
Abend,Seară
hatten,a avut
Jahre,Ani
Mach,Do
Bruder,Frate
Sache,materie
hören,auzi
komm,vino
Sohn,fiule
seit,de cand
Morgen,Dimineaţă
drei,Trei
steht,standuri
Scheiße,La dracu
mag,ca
sei,fi
unser,al nostru
konnte,ar putea
habt,avea
Oder,Sau
einmal,o singura data
heißt,se numește
OK,Bine
Willst,Vrei
Kopf,Cap
Hilfe,Ajutor
Familie,Familie
Geh,Merge
Baby,copil
Dich,Tu
Sind,Sunt
erst,primul
fertig,complet
gefunden,găsite
seid,sunt
kam,a venit
nehmen,lua
morgen,dimineaţă
sprechen,vorbi
Mir,Pe mine
sofort,imediat
Kann,Poate sa
Hat,Are
Jahren,ani
Kind,copil
seinen,a lui
Genau,Exact
daran,la ea
Junge,Băiat
Minuten,minute
bevor,inainte de
Stadt,Oraș
beim,la
sterben,a muri
warst,au fost
Recht,Dreapta
glauben,crede
Warte,Aștepta
darüber,despre
deiner,a ta
deinem,a ta
Ende,Sfârşit
He,Hei
Dinge,Lucruri
Namen,nume
wahr,Adevărat
Alle,Toate
allein,singur
Natürlich,Natural
töten,ucide
Nichts,Nimic
Wirklich,Într-adevăr
bekommen,a primi
Männer,Bărbați
vergessen,a uita
Doch,Dar
dazu,în plus
gab,a dat
später,mai tarziu
wusste,știa
Augen,Ochi
Dank,Mulțumită
Freunde,Prieteni
Jungs,baieti
halten,tine
warten,aștepta
Glück,Noroc
beide,ambii
gute,bun
Dein,Ta
kennen,stiu
Deine,Ta
n,n
Hi,Bună
Dr,Dr
Auto,auto
sage,legendă
gehe,merge
komme,vino
Dir,Tu
mache,face
Von,Din
Uhr,Ceas
sehe,vedea
Teufel,Diavol
sonst,in caz contrar
Art,Artă
gern,bucuros
Liebe,Dragoste
jeden,fiecare
könnten,ar putea
ihren,ta
Halt,Stop
Fall,caz
Dad,Tata
Film,Film
bisschen,puțin
eigentlich,de fapt
weit,departe
mach,do
Gib,Da
vorbei,peste
verstehe,a intelege
danke,Mulțumiri
drin,interior
Im,În
Name,Nume de familie
ganzen,întreg
Musik,Muzică
würden,ar
Tür,uşă
verrückt,nebun
solltest,ar trebui să
denken,gândi
Noch,Încă
dran,randul tau
Sieh,Vedea
lieber,dragă
Den,The
leben,viaţă
Guten,Bun
Um,În jurul
darauf,pe el
Kein,Nu
stimmt,Adevărat
Kerl,Tip
letzte,ultimul
Job,loc de munca
verloren,pierdut
wurden,a devenit
kenne,stiu
Ahnung,Idee
seiner,a lui
Grund,Motiv
toll,Grozav
Bis,Pana cand
Verdammt,La naiba
bald,curând
bereit,gata
all,Alles
jemanden,cineva
hinter,in spate
Schon,Deja
Sehr,Foarte
Hand,mână
darf,Mai
Dieser,Acest
Frauen,femei
Euch,Tu
Idee,idee
runter,jos
Macht,Putere
draußen,in afara
lang,lung
Land,țară
lass,lăsa
Typ,Tip
hätten,ar fi avut
egal,nu contează
arbeiten,muncă
spät,târziu
stehen,stand
ok,Bine
Gute,Bun
gekommen,a venit
Bei,La
etwa,aproximativ
essen,mânca
kleine,mic
jeder,toata lumea
Schwester,soră
Wasser,Apă
spielen,Joaca
Geschichte,Poveste
seinem,a lui
liegt,minciuni
sah,a văzut
Mom,mama
Seite,Pagină
wenig,puţini
ruhig,Liniște
Frage,Cere
meinst,Rău
überhaupt,deloc
fahren,conduce
Ganz,Destul de
Gehen,Merge
Essen,Mânca
Ruhe,Liniște
echt,Într-adevăr
versucht,încercat
Tochter,fiica
Kommt,Vine
Einen,A
ging,a mers
Jahr,An
braucht,are nevoie
fast,aproape
neue,nou
geh,merge
ziemlich,destul de
anders,diferit
siehst,vedea
Polizei,politie
Stunden,Ore
musste,a trebuit sa
Spiel,Joc
gewesen,fost
gerne,bucuros
finde,găsi
erzählt,spuse
Tod,Moarte
Ort,Locație
Chance,şansă
bedeutet,mijloace
War,A fost
sag,Spune
sagst,Spune
fragen,întrebări
letzten,ultimul
sogar,chiar
ersten,primul
Sachen,Lucruri
Wahrheit,Adevăr
einzige,numai
kurz,mic de statura
denen,acestea
Kommen,Vino
Spaß,Distracţie
Nach,După
oben,de mai sus
Mama,mumie
schwer,dificil
Schule,Şcoală
je,vreodată
eben,chiar
Gesicht,Față
bestimmt,cu siguranță
treffen,întâlni
niemand,nici unul
Woche,Săptămână
Entschuldigung,Scuzați-mă
Sorgen,A avea grijă de
warte,aștepta
natürlich,natural
schlecht,rău
große,mărimea
getötet,ucis
verstehen,a intelege
hoffe,speranţă
Ah,Uh
Sei,Fi
Zimmer,Cameră
hoch,înalt
unserer,a noastra
Tage,zile
Teil,Parte
Wann,Când
suchen,căuta
verlassen,părăsi
zeigen,spectacol
wollten,am vrut sa
lässt,frunze
Wort,Cuvânt
eins,unu
zwischen,între
Woher,De unde
Schatz,Comoară
Wissen,A sti
versuchen,"atentat, încercare"
Können,Poate sa
Kannst,Poate sa
nett,drăguț
Zu,La
kriegen,obține
Geht,Merge
Arsch,cur
kleinen,mic
Hab,Avea
weiss,alb
erste,primul
läuft,alergare
kommst,vino
Freundin,Iubita
Mensch,Persoană
beiden,ambii
Ding,lucru
niemals,nu
endlich,in cele din urma
Nimm,lua
muß,trebuie sa
gehst,merge
Heute,Astăzi
denkst,gândi
Herz,inima
Waffe,armă
Soll,Ar trebui să
tust,do
Dollar,dolar
nehme,lua
Schau,Uite
holen,aduce
oft,de multe ori
drauf,pe el
anderes,alte
Niemand,Nici unul
unten,de mai jos
Wagen,A indrazni
Yeah,Da
Schön,Grozav
wichtig,important
Mrs,D-na
hättest,ar fi avut
allen,toata lumea
Miss,domnisoara
ihrer,a lor
gedacht,gând
Nummer,număr
würdest,ar
erzählen,spune
bleibt,ramane
Auch,De asemenea
Hände,mâinile
Blut,sânge
Sehen,Vedea
bloß,doar
recht,dreapta
bringt,aduce
Bett,Pat
Lassen,Lăsa
Eltern,Părinţi
gefällt,va place
Schuld,Vina
eure,ta
Plan,plan
Krieg,Război
neuen,nou
Klar,clar
retten,salvare
guter,bunuri
während,in timp ce
ihrem,a lor
wären,va fi
Fehler,Greşeală
scheint,apare
Lasst,Frunze
gegeben,dat
An,La
hör,asculta
glücklich,fericit
verdammt,blestemat
alt,vechi
Platz,Loc
darum,prin urmare
Vielen,Mulți
falsch,incorect
unseren,a noastra
schlafen,dormi
Sagen,Spune
nächsten,Următorul
fünf,cinci
frei,gratuit
Sorge,Îngrijorări
Vor,Inainte de
fest,cu fermitate
bereits,deja
alleine,singur
Denn,Deoarece
Zwei,Două
Fragen,Întrebări
möglich,posibil
irgendwie,oarecum
Papa,Tată
lernen,învăța
gestern,ieri
hierher,Aici
Schiff,Navă
vier,patru
irgendwas,orice
Stimmt,Adevărat
Menge,Mulțime
keiner,nici unul
brauchst,nevoie
Typen,Tipuri
Dass,Acea
Stunde,Ora
Szene,scenă
Hölle,iad
einige,niste
Deshalb,Din acest motiv
geworden,deveni
Telefon,telefon
Darf,Mai
Feuer,Foc
Wollen,Vrei
Bin,A.m
Alter,Vechi
Captain,Căpitan
Aus,Din
Dieses,Acest
Probleme,Probleme
Jeder,Toata lumea
verstanden,înțeles
wann,Când
alten,vechi
gibt's,există
sondern,mai degraba
guten,bun
zwar,acesta este
eigenen,proprii
New,Nou
Körper,Corp
hört,aude
Zum,Pentru
gebe,da
Kumpel,Omule
Hund,Câine
nochmal,din nou
hab's,am înţeles
früh,din timp
Hören,Auzi
trinken,băutură
besten,Cel mai bun
meines,A mea
schaffen,crea
alte,vechi
Luft,Aer
Jemand,Cineva
dürfen,Mai
Meister,maestru
Erde,Pământ
Seit,De cand
Sicher,sigur
Hört,Asculta
Zukunft,Viitor
kaum,de abia
funktioniert,funcții
voll,deplin
Bleib,Stau
reicht,este suficient
weh,inflamat
stellen,loc
Siehst,Vedea
kleiner,mai mic
großen,imens
Waffen,arme
Büro,Birou
Wahl,Alegere
verlieren,pierde
Wochen,săptămâni
Damit,Cu acesta
Stück,Bucată
lieben,dragoste
allem,Tot
getroffen,întâlnit
äh,uh
Am,La
geschafft,Terminat
tue,do
gefallen,căzut
Tja,Bine
Boss,sef
überall,pretutindeni
Sieht,Vede
passieren,întâmpla
lustig,amuzant
Licht,Ușoară
gebracht,adus
nennen,a numi
Folge,Consecinţă
Gefühl,Sentiment
völlig,complet
denkt,gandeste
Schlüssel,Cheie
drüben,dincolo
Richtig,Corect
wieso,cum se face
Leuten,oameni
Buch,Carte
laufen,alerga
spielt,joacă
früher,mai devreme
Sein,Fi
krank,bolnav
gegangen,plecat
fand,găsite
Seine,A lui
Pass,pașaport
fühle,simt
Himmel,Cer
froh,bucuros
leicht,ușoară
direkt,direct
langsam,încet
wolltest,dorit
erinnern,tine minte
zuerst,primul
Krankenhaus,spital
Viel,Mult
beste,Cel mai bun
welche,care
genommen,Luat
Arzt,Medic
unserem,a noastra
Idiot,idiot
Machen,Face
glaubst,crede
jede,fiecare
Ohne,Fără
groß,mare
hattest,a avut
Äh,Uh
Jungen,băieți
Rest,odihnă
Unsere,Al nostru
versuche,încerca
Tagen,zile
nächste,Următorul
Entschuldigen,Scuză
Doktor,doctor
spricht,vorbeste
könnt,poate sa
hält,tine
Team,echipă
Verstanden,Înțeles
kämpfen,luptă
heiraten,se căsătoresc
könntest,ar putea
Wow,Wow
Etwas,Ceva
Straße,Stradă
Mist,La naiba
König,rege
redest,vorbi
kleines,mic
lebt,vieți
erklären,explica
worden,fost
Millionen,milioane
Wiedersehen,La revedere
Onkel,unchiule
kennst,stiu
sitzen,sta
dies,acest
weniger,mai putine
Kaffee,Cafea
ernst,serios
wollt,vrei
tragen,transporta
Zeug,Lucruri
trotzdem,în ciuda ei
Ihren,Ta
kaufen,Cumpără
Liste,listă
ändern,Schimbare
Kampf,Luptă
hasse,ură
Person,persoană
Mund,gură
umbringen,ucide
Präsident,presedinte
Boden,Podea
Wohin,Unde
machte,făcut
Party,parte
gefragt,a întrebat
Seht,Uite
irgendwo,undeva
kümmern,ai grijă
kennt,stie
verletzt,rănit
Habt,Avea
Nachricht,Știri
Willkommen,Bine ati venit
vielen,mulți
hart,greu
lasse,lăsa
total,total
Gefängnis,Temniță
außer,cu exceptia
Sicherheit,Securitate
Schnell,Rapid
wem,pe cine
ehrlich,sincer
interessiert,interesat
Sex,sex
sagten,a spus
ziehen,Trage
Welche,Care
Unser,Al nostru
Augenblick,moment
angerufen,numit
aufhören,Stop
Klasse,Clasă
Bild,Imagine
stark,puternic
Dies,Acest
Eure,Ta
zehn,zece
Sinn,sens
vorstellen,introduce
Traum,Vis
länger,mai lung
manchmal,uneori
anrufen,apel
sechs,şase
Arschloch,Idiotule
sollst,ar trebui să
gestorben,decedat
Tages,zi
war's,era
verschwinden,dispărea
Kraft,Putere
gesprochen,vorbit
heraus,afară de aici
genauso,doar noi
wärst,va fi
Eins,unu
damals,în acel moment
heißen,a fi chemat
Liebling,Dragă
wahrscheinlich,probabil
deshalb,din acest motiv
Stelle,Loc de munca
halt,Stop
erwartet,așteptat
solche,astfel de
meisten,cel mai
bringe,aduce
still,Liniște
umgebracht,ucis
Stimme,De acord
General,general
Geben,Da
Entschuldige,Îmi pare rău
Vergiss,A uita
rede,vorbire
führen,conduce
Bewegung,Circulaţie
höre,asculta
Sonst,In caz contrar
Geschäft,Afaceri
werdet,voi
konnten,ar putea
wartet,asteapta
Raus,Afară